id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
63,0,0,1,https://old.c2.com,old.c2.com,1,old.c2.com,69.168.54.22,1,0,443,,"(ReadTimeoutError(""HTTPSConnectionPool(host='old.c2.com', port=443): Read timed out. (read timeout=13)""),)",,,69.168.48.0/20,AS31745,SPIRETECH,美国俄勒冈,未知,Brute
66,0,0,1,http://old.c2.com,old.c2.com,1,old.c2.com,69.168.54.22,1,0,80,,"(ReadTimeoutError(""HTTPConnectionPool(host='old.c2.com', port=80): Read timed out. (read timeout=27)""),)",,,69.168.48.0/20,AS31745,SPIRETECH,美国俄勒冈,未知,Brute
40,1,1,1,http://portal.c2.com,portal.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
51,1,1,1,https://portal.c2.com,portal.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
25,1,1,1,http://proxy.c2.com,proxy.c2.com,1,proxy.c2.com,192.241.203.176,1,1,80,404,Not Found,'404 page not found\n',,192.241.192.0/19,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,CertSpotterQuery
41,1,1,1,https://proxy.c2.com,proxy.c2.com,1,proxy.c2.com,192.241.203.176,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,192.241.192.0/19,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,CertSpotterQuery
36,1,1,1,http://s2008r2-ex1.c2.com,s2008r2-ex1.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
52,1,1,1,https://s2008r2-ex1.c2.com,s2008r2-ex1.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
32,1,1,1,http://sample.psu-capstone.c2.com,sample.psu-capstone.c2.com,2,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
49,1,1,1,https://sample.psu-capstone.c2.com,sample.psu-capstone.c2.com,2,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
